,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio,Reduced Lunch,Free Lunch,Percent Lunch
145,Franklin Academy,1,0,1,0,35.95565,-78.487311,1639,15.08,0.0,408.0,0.248932275778
146,Franklin County Early College,1,0,0,0,36.086177,-78.330658,172,28.67,14.0,64.0,0.453488372093
148,Franklinton High,1,0,0,0,36.06962,-78.436031,1008,17.85,74.0,412.0,0.482142857143
149,Fred T Foard High,1,0,0,1,35.617507,-81.371066,1025,17.08,58.0,286.0,0.335609756098
150,Freedom High,1,0,0,1,35.745194,-81.720672,1178,17.98,212.0,1413.0,1.37945670628
151,Fuquay-Varina High,1,0,0,0,35.597889,-78.797234,2117,18.57,108.0,533.0,0.302786962683
152,Garinger High,1,0,0,1,35.241104,-80.782811,1748,16.49,0.0,1745.0,0.99828375286
153,Garner High,1,1,0,1,35.710798,-78.63516,2650,18.16,202.0,957.0,0.437358490566
154,Gaston College Preparatory,1,0,1,1,36.504587,-77.639204,1046,16.92,173.0,582.0,0.721797323136
155,Gaston Early College High School,1,0,0,1,35.311484,-81.189418,170,20.61,16.0,57.0,0.429411764706
156,Gates County Senior High,1,0,0,1,36.447458,-76.704504,539,12.07,61.0,192.0,0.469387755102
157,Goldsboro High,1,0,0,1,35.386752,-77.979992,545,13.97,0.0,521.0,0.955963302752
158,Graham High,1,0,0,1,36.07669,-79.38077,804,16.58,42.0,171.0,0.264925373134
159,Granville Central High,1,0,0,1,36.207623,-78.687185,569,15.73,42.0,270.0,0.548330404218
160,Granville Early College High,1,0,0,1,36.1417,-78.721306,218,31.14,21.0,64.0,0.389908256881
162,Gray Stone Day,1,0,1,0,35.48351,-80.27634,411,14.17,6.0,8.0,0.0340632603406
163,Green Hope High,1,0,0,0,35.804992,-78.867007,2380,19.75,44.0,123.0,0.0701680672269
164,Greene Central High,1,0,0,1,35.479919,-77.670315,900,14.89,49.0,539.0,0.653333333333
165,Greene Early College High,1,0,0,1,35.475863,-77.670521,157,20.93,13.0,94.0,0.68152866242
166,Grimsley High,1,0,0,1,36.084338,-79.815997,1719,18.84,70.0,600.0,0.389761489238
167,GTCC Middle College High,1,0,0,1,35.998253,-79.918162,187,12.9,12.0,64.0,0.406417112299
168,Haliwa-Saponi Tribal School,1,0,1,1,36.251895,-77.981367,192,11.67,0.0,0.0,0.0
169,Harding University High,1,1,0,1,35.236952,-80.902359,1747,17.98,0.0,1738.0,0.994848311391
170,Harnett Central High,1,0,0,1,35.463493,-78.77991,1541,17.45,122.0,645.0,0.497728747567
171,Havelock High,1,0,0,1,34.880481,-76.893569,1119,15.87,110.0,350.0,0.411081322609
172,Hawthorne High,1,0,0,1,35.29507,-80.795681,135,7.06,0.0,127.0,0.940740740741
173,Hayesville High,1,0,0,1,35.040513,-83.813602,383,12.3,29.0,145.0,0.454308093995
174,Haywood Early College,1,0,0,1,35.526397,-82.927756,156,26.0,15.0,65.0,0.512820512821
