,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio
168,Haliwa-Saponi Tribal School,1,0,1,1,36.251895,-77.981367,1,1,1,1,192,11.67
169,Harding University High,1,1,0,1,35.236952,-80.902359,1,1,1,1,1747,17.98
170,Harnett Central High,1,0,0,1,35.463493,-78.779910,1,1,1,1,1541,17.45
171,Havelock High,1,0,0,1,34.880481,-76.893569,1,1,1,1,1119,15.87
172,Hawthorne High,1,0,0,1,35.295070,-80.795681,1,1,1,1,135,7.06
173,Hayesville High,1,0,0,1,35.040513,-83.813602,1,1,1,1,383,12.30
174,Haywood Early College,1,0,0,1,35.526397,-82.927756,1,1,1,1,156,26.00
175,Heide Trask High,1,0,0,1,34.437792,-77.892530,1,1,1,1,685,14.42
176,Henderson County Early College,1,0,0,1,35.307269,-82.422577,1,1,1,1,202,33.67
177,Hendersonville High,1,0,0,1,35.321409,-82.464217,1,1,1,1,770,16.77
178,Heritage High,1,0,0,0,35.940140,-78.511001,1,1,1,1,1910,17.77
179,Hertford Co Early College,1,0,0,1,36.323840,-77.019391,1,1,1,1,127,18.14
180,Hertford County High,1,0,0,1,36.296584,-76.998176,1,1,1,1,703,15.56
181,Hibriten High,1,0,0,1,35.925510,-81.493751,1,1,1,1,824,13.19
182,Hickory High,1,0,0,1,35.749647,-81.331794,1,1,1,1,1018,15.39
183,Hickory Ridge High,1,0,0,0,35.307787,-80.634948,1,1,1,1,1573,20.37
184,High Point Central High,1,1,0,1,35.957950,-80.023120,1,1,1,1,1454,16.90
185,Highland Sch of Technology,1,1,0,0,35.280405,-81.190733,1,1,1,1,555,13.79
186,Highlands School,1,0,0,1,35.046853,-83.196938,1,1,1,1,351,11.55
187,Hillside High,1,0,0,1,35.953277,-78.903598,1,1,1,1,1318,14.40
188,Hillside New Tech High,1,0,0,1,35.953277,-78.903598,1,1,1,1,273,15.17
189,Hiwassee Dam High,1,0,0,1,35.103859,-84.223650,1,1,1,1,203,12.76
190,Hobbton High,1,0,0,1,35.177810,-78.328370,1,1,1,1,557,15.80
191,Hoke County High,1,0,0,1,34.972957,-79.234343,1,1,1,1,1972,15.73
192,Holly Springs High,1,0,0,0,35.628900,-78.848821,1,1,1,1,2418,19.67
193,Hopewell High,1,0,0,1,35.378392,-80.911004,1,1,1,1,1653,18.85
194,Howard Health & Life Sciences,1,0,0,1,35.029680,-78.898221,1,1,1,1,164,13.12
195,Hugh M Cummings High,1,0,0,1,36.088669,-79.396442,1,1,1,1,932,17.73
196,Hunter Huss High,1,0,0,1,35.240637,-81.206875,1,1,1,1,1148,17.03
197,Independence High,1,0,0,1,35.197168,-80.687432,1,1,1,1,2349,18.24
198,Invest Collegiate - Imagine,1,0,1,0,35.525000,-82.606561,0,0,1,1,342,15.57
199,Isaac M Bear High,1,0,0,1,34.217190,-77.880005,1,1,1,1,231,23.10
200,J D Clement Early College HS,1,0,0,1,35.974670,-78.898051,1,1,1,1,352,24.28
201,J F Kennedy High,4,1,0,1,36.106750,-80.234701,1,1,1,1,344,7.55
202,J. F. Webb High,1,0,0,1,36.343600,-78.604437,1,1,1,1,615,15.14
203,Jack Britt High,1,0,0,0,34.977498,-79.011098,1,1,1,1,1941,17.56
204,Jackson Co Early College,1,0,0,1,35.347264,-83.204440,1,1,1,1,145,35.37
205,Jacksonville High,1,0,0,1,34.783917,-77.427045,1,1,1,1,1218,17.53
206,James B Dudley High,1,0,0,1,36.060828,-79.763503,1,1,1,1,1418,15.52
207,James Hunt High,1,0,0,0,35.722528,-77.998967,1,1,1,1,1375,17.73
208,James Kenan High,1,0,0,1,34.984522,-78.043144,1,1,1,1,728,17.40
209,Jay M Robinson High,1,0,0,1,35.362979,-80.661366,1,1,1,1,1339,15.54
210,JF Webb HS Of Health And Life Sciences,1,0,0,0,36.337910,-78.597163,1,1,1,1,304,27.64
211,Jimmy C Draughn High School,1,0,0,1,35.767070,-81.544041,1,1,1,1,722,16.77
212,John A Holmes High,1,0,0,1,36.066548,-76.604733,1,1,1,1,659,14.50
213,John M Morehead High,1,0,0,1,36.504629,-79.735354,1,1,1,1,940,18.02
214,John T Hoggard High,1,0,0,0,34.199614,-77.892867,1,1,1,1,1786,18.90
215,Johnston Co Early College Academy,1,0,0,0,35.504134,-78.330645,1,1,1,1,244,26.38
216,Jones Senior High,1,0,0,1,35.054220,-77.482360,1,1,1,1,333,12.11
217,Jordan Matthews High,1,0,0,1,35.723900,-79.452430,1,1,1,1,765,13.78
218,Junius H Rose High,1,0,0,1,35.593934,-77.384236,1,1,1,1,1440,15.96
219,Kennedy Charter,1,0,1,1,35.118634,-80.873461,1,1,1,1,375,10.14
220,Kestrel Heights School,1,0,1,0,35.898310,-78.890451,1,1,1,1,1015,15.53
221,Kings Mountain High,1,0,0,1,35.234417,-81.369876,1,1,1,1,1272,14.65
222,Kinston High,1,0,0,1,35.295853,-77.575265,1,1,1,1,854,15.53
223,Knightdale High,1,0,0,1,35.810850,-78.476188,1,1,1,1,1672,16.73
224,Lake Lure Classical Academy,1,0,1,1,35.430690,-82.222451,0,1,1,1,372,12.40
225,Lake Norman Charter,1,0,1,0,35.388475,-80.834755,1,1,1,1,1600,17.51
226,Lake Norman High,1,0,0,0,35.598270,-80.903811,1,1,1,1,1865,21.07
227,Lakewood High,1,0,0,1,34.990911,-78.501924,1,1,1,1,516,13.79
228,Ledford Senior High,1,0,0,0,35.962253,-80.134033,1,1,1,1,1255,18.83
229,Lee County High,1,0,0,1,35.467494,-79.148203,1,1,1,1,1493,15.92
230,Lee Early College,1,0,0,1,35.471218,-79.143900,1,1,1,1,288,24.00
231,Leesville Road High,1,0,0,0,35.890123,-78.717862,1,1,1,1,2281,18.68
