,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
53,North Carolina,Charlotte Learning Academy,701 SCALEYBARK RD.,CHARLOTTE,28209,1,0,1,1,5-Eligible for Title I SWP provides SWP program,35.181580,-80.864521,6th Grade,10th Grade,0,0,1,1,146,40,30.8,50.0,8.0
54,North Carolina,Charlotte Secondary,8601 MCALPINE PARK DR,CHARLOTTE,28211,1,0,1,1,3-Eligible for Title I SWP provides TAS program,35.151970,-80.748591,6th Grade,11th Grade,0,1,1,1,425,164,41.1,65.5,47.7
55,North Carolina,Chase High School,1603 CHASE HIGH ROAD,FOREST CITY,28043,1,0,0,1,4-Eligible for Title I SWP provides no program,35.251360,-81.843411,9th Grade,12th Grade,1,1,1,1,812,812,57.6,55.0,36.8
56,North Carolina,Chatham Central High,14950 NC HWY 902 W,BEAR CREEK,27207,1,0,0,0,6-Not eligible for either TAS or SWP,35.615120,-79.390631,9th Grade,12th Grade,1,1,1,1,404,404,62.2,69.0,59.4
57,North Carolina,Chatham Charter,2200 HAMP STONE ROAD,SILER CITY,27344,1,0,1,0,6-Not eligible for either TAS or SWP,35.742493,-79.479562,Kindergarten,11th Grade,0,1,1,1,497,134,80.0,83.3,70.0
58,North Carolina,Cherryville High,313 RIDGE AVENUE,CHERRYVILLE,28021,1,0,0,1,1-Eligible for Title I TAS provides no program,35.389682,-81.379896,9th Grade,12th Grade,1,1,1,1,554,554,65.1,60.2,44.1
59,North Carolina,City of Medicine Academy,301 CRUTCHFIELD ROAD,DURHAM,27704,1,0,0,1,4-Eligible for Title I SWP provides no program,36.038838,-78.902553,9th Grade,12th Grade,1,1,1,1,321,321,71.5,78.1,70.5
60,North Carolina,Clayton High,600 S FAYETTEVILLE ST,CLAYTON,27520,1,0,0,0,6-Not eligible for either TAS or SWP,35.650024,-78.466420,9th Grade,12th Grade,1,1,1,1,1512,1512,50.8,63.9,58.2
61,North Carolina,Cleveland ECHS,1800 E. MARION STREET,SHELBY,28152,1,0,0,1,4-Eligible for Title I SWP provides no program,35.277570,-81.490361,9th Grade,13th Grade,1,1,1,1,223,205,81.6,88.9,74.1
62,North Carolina,Cleveland High,1892 POLENTA RD,CLAYTON,27520,1,0,0,0,6-Not eligible for either TAS or SWP,35.551507,-78.500107,9th Grade,12th Grade,1,1,1,1,1468,1468,69.6,70.9,74.6
63,North Carolina,Clinton High,340 INDIAN TOWN ROAD,CLINTON,28328,1,0,0,1,4-Eligible for Title I SWP provides no program,34.973848,-78.329093,9th Grade,12th Grade,1,1,1,1,848,848,48.0,56.0,43.4
64,North Carolina,Cochrane Collegiate Academy,6200 STARHAVEN DR,CHARLOTTE,28215,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.246492,-80.750138,6th Grade,12th Grade,1,1,1,1,702,172,39.4,54.5,70.7
65,North Carolina,Collaborative College for Technology,500 WEST BROAD STREET,STATESVILLE,28677,1,0,0,1,1-Eligible for Title I TAS provides no program,35.783453,-80.893121,9th Grade,13th Grade,1,1,1,1,240,201,92.8,95.0,84.9
66,North Carolina,Columbia High,902 MAIN ST,COLUMBIA,27925,1,0,0,1,4-Eligible for Title I SWP provides no program,35.919076,-76.245535,9th Grade,13th Grade,1,1,1,1,167,158,66.7,67.4,35.0
67,North Carolina,Community School of Davidson,404 ARMOUR STREET,DAVIDSON,28036,1,0,1,0,6-Not eligible for either TAS or SWP,35.508080,-80.849741,Kindergarten,12th Grade,1,1,1,1,1327,472,90.1,91.4,74.0
68,North Carolina,Concord High,481 BURRAGE ROAD NE,CONCORD,28025,1,0,0,1,4-Eligible for Title I SWP provides no program,35.433650,-80.582182,9th Grade,12th Grade,1,1,1,1,1252,1252,48.3,52.5,40.4
69,North Carolina,Corinth Holders High,6875 APPLEWHITE RD,WENDELL,27591,1,0,0,0,6-Not eligible for either TAS or SWP,35.724760,-78.337811,9th Grade,12th Grade,1,1,1,1,1679,1679,66.1,75.7,66.0
70,North Carolina,Cox Mill High School,1355 COX MILL RD,CONCORD,28027,1,0,0,0,6-Not eligible for either TAS or SWP,35.395070,-80.728611,9th Grade,12th Grade,1,1,1,1,1478,1478,70.3,76.0,66.3
71,North Carolina,Craven Early College High,800 COLLEGE COURT,NEW BERN,28562,1,0,0,1,4-Eligible for Title I SWP provides no program,35.111602,-77.102325,9th Grade,13th Grade,1,1,1,1,205,178,71.7,80.0,67.3
72,North Carolina,Crest High,800 OLD BOILING SPRINGS,SHELBY,28152,1,0,0,1,4-Eligible for Title I SWP provides no program,35.271571,-81.609854,9th Grade,12th Grade,1,1,1,1,1260,1260,50.5,58.3,52.5
73,North Carolina,Creswell High,115 WEST MIDDLE STREET,CRESWELL,27928,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.868941,-76.395907,7th Grade,12th Grade,1,1,1,1,155,100,41.2,43.8,45.0
74,North Carolina,Croatan High,1 COUGAR LANE,NEWPORT,28570,1,0,0,0,6-Not eligible for either TAS or SWP,34.748000,-76.895490,9th Grade,12th Grade,1,1,1,1,904,904,81.4,84.5,81.4
75,North Carolina,Cross Creek Early College,1200 MURCHISON ROAD,FAYETTEVILLE,28301,1,0,0,1,4-Eligible for Title I SWP provides no program,35.070959,-78.893585,9th Grade,12th Grade,1,1,1,1,247,247,83.3,84.3,83.1
76,North Carolina,Williams Academy,129 ALLEN CIRCLE,CROSSNORE,28616,1,0,1,1,5-Eligible for Title I SWP provides SWP program,36.021600,-81.929700,Kindergarten,12th Grade,1,1,1,1,104,43,23.1,50.0,5.0
77,North Carolina,Crossroads Charter High,5500 N TRYON STEET,CHARLOTTE,28213,1,0,1,1,5-Eligible for Title I SWP provides SWP program,35.261163,-80.773678,9th Grade,12th Grade,1,1,1,1,182,182,15.9,21.9,20.5
