School Name,State Name [Public School] Latest available year,Pupil/Teacher Ratio [Public School] 2014-15
NORTH ROWAN HIGH,North Carolina,14.10
NORTH ROWAN MIDDLE,North Carolina,14.56
NORTH SHELBY,North Carolina,8.59
NORTH STANLY HIGH,North Carolina,13.52
NORTH STANLY MIDDLE,North Carolina,14.79
NORTH STOKES HIGH,North Carolina,12.56
NORTH SURRY HIGH,North Carolina,16.28
NORTH TOPSAIL ELEMENTARY,North Carolina,16.57
NORTH WHITEVILLE ACADEMY,North Carolina,3.71
NORTH WILKES HIGH,North Carolina,16.36
NORTH WILKES MIDDLE,North Carolina,16.17
NORTH WILKESBORO ELEMENTARY,North Carolina,14.98
NORTH WINDY RIDGE INTERMEDIATE,North Carolina,15.45
NORTHAMPTON COUNTY ALTERNATIVE SCHOOL,North Carolina,†
NORTHAMPTON COUNTY HIGH SCHOOL,North Carolina,13.24
NORTHEAST ACADEMY OF AEROSPACE & ADVTECH,NORTH CAROLINA,†
NORTHEAST ELEMENTARY,North Carolina,12.92
NORTHEAST ELEMENTARY,North Carolina,16.28
NORTHEAST ELEMENTARY,North Carolina,16.88
NORTHEAST GUILFORD HIGH,North Carolina,15.62
NORTHEAST GUILFORD MIDDLE,North Carolina,14.96
NORTHEAST MIDDLE,North Carolina,16.19
NORTHEAST REGIONAL SCHOOL - BIOTECH/AGRI,North Carolina,15.67
NORTHEASTERN HIGH,North Carolina,14.84
NORTHEASTERN RANDOLPH MIDDLE,North Carolina,16.87
NORTHERN GRANVILLE MIDDLE,North Carolina,16.76
NORTHERN GUILFORD ELEMENTARY,North Carolina,16.67
NORTHERN GUILFORD HIGH,North Carolina,19.55
NORTHERN GUILFORD MIDDLE,North Carolina,17.63
NORTHERN HIGH,North Carolina,17.26
NORTHERN MIDDLE,North Carolina,15.49
NORTHERN NASH HIGH,North Carolina,18.37
NORTHERN VANCE HIGH,North Carolina,15.16
NORTHRIDGE MIDDLE,North Carolina,17.89
NORTHSIDE ELEMENTARY,North Carolina,15.68
NORTHSIDE ELEMENTARY,North Carolina,15.60
NORTHSIDE ELEMENTARY,North Carolina,12.97
NORTHSIDE HIGH,North Carolina,18.33
NORTHSIDE HIGH,North Carolina,13.89
NORTHVIEW MIDDLE,North Carolina,16.67
NORTHVIEW SCHOOL,North Carolina,15.71
NORTHWEST CABARRUS HIGH,North Carolina,16.47
NORTHWEST CABARRUS MIDDLE,North Carolina,15.55
NORTHWEST ELEMENTARY,North Carolina,16.91
NORTHWEST ELEMENTARY,North Carolina,17.45
NORTHWEST ELEMENTARY,North Carolina,15.61
NORTHWEST ELEMENTARY,North Carolina,14.08
NORTHWEST GUILFORD HIGH,North Carolina,20.35
NORTHWEST GUILFORD MIDDLE,North Carolina,17.35
NORTHWEST HIGH,North Carolina,13.03
NORTHWEST MIDDLE,North Carolina,15.47
NORTHWEST SCHOOL OF THE ARTS,North Carolina,17.27
NORTHWOOD ELEMENTARY,North Carolina,14.85
NORTHWOOD HIGH,North Carolina,17.02
NORTHWOODS ELEMENTARY,North Carolina,14.09
NORTHWOODS ELEMENTARY,North Carolina,13.04
NORTHWOODS PARK MIDDLE,North Carolina,13.92
NORWAYNE MIDDLE,North Carolina,17.01
NORWOOD ELEMENTARY,North Carolina,15.40
NRM EARLY COLLEGE HIGH SCHOOL,North Carolina,24.49
O R POPE ELEMENTARY,North Carolina,†
OAK GROVE ELEMENTARY,North Carolina,15.53
OAK GROVE ELEMENTARY,North Carolina,15.13
OAK GROVE MIDDLE,North Carolina,17.40
OAK HILL ELEMENTARY,North Carolina,13.14
OAK HILL ELEMENTARY,North Carolina,15.78
OAK HILL ELEMENTARY,North Carolina,9.35
OAK LANE ELEMENTARY,North Carolina,16.22
OAK RIDGE ELEMENTARY,North Carolina,18.74
OAK VIEW ELEMENTARY,North Carolina,14.28
OAKBORO ELEMENTARY,North Carolina,14.22
OAKDALE ELEMENTARY,North Carolina,16.63
OAKHURST ELEM SCHOOL RESTORATION,NORTH CAROLINA,†
OAKLAWN LANGUAGE ACADEMY,North Carolina,14.40
OAKLEY ELEMENTARY,North Carolina,16.02
OAKS ROAD ELEMENTARY,North Carolina,15.04
OAKWOOD ELEMENTARY,North Carolina,17.52
OAKWOOD ELEMENTARY,North Carolina,14.26
OCRACOKE SCHOOL,North Carolina,8.00
OGDEN ELEMENTARY,North Carolina,16.87
OLD DOCK ELEMENTARY,North Carolina,16.00
OLD FORT ELEMENTARY,North Carolina,13.88
OLD RICHMOND ELEMENTARY,North Carolina,16.20
OLD TOWN ELEMENTARY,North Carolina,13.00
OLDE PROVIDENCE ELEMENTARY,North Carolina,17.97
OLDS ELEMENTARY,North Carolina,15.11
OLIVE CHAPEL ELEMENTARY,North Carolina,17.46
OLYMPIC HIGH - BIOTECH HEALTH PUB ADMIN,North Carolina,19.67
OLYMPIC HIGH - INTL STUDY & GLOBAL ECON,North Carolina,12.00
OLYMPIC HIGH - RENAISSANCE SCHOOL,North Carolina,18.93
OLYMPIC HIGH -INTL BUS & COMM STUDIES,North Carolina,18.22
OLYMPIC HIGH-MATH ENG TECH SCIENCE,North Carolina,21.48
ORANGE CHARTER,North Carolina,11.81
ORANGE HIGH,North Carolina,16.42
ORRUM MIDDLE,North Carolina,14.57
OTIS L HAIRSTON SR MIDDLE,North Carolina,14.39
OVERHILLS ELEMENTARY,North Carolina,17.40
OVERHILLS HIGH,North Carolina,20.55
OVERHILLS MIDDLE,North Carolina,18.45
OVERTON ELEMENTARY,North Carolina,14.92
OWEN HIGH,North Carolina,14.83
OWEN MIDDLE,North Carolina,13.64
OXENDINE ELEMENTARY,North Carolina,17.64
OXFORD ELEMENTARY,North Carolina,15.83
OXFORD PREPARATORY HIGH,North Carolina,14.13
P S JONES MIDDLE,North Carolina,15.47
P W MOORE ELEMENTARY,North Carolina,14.84
PACE ACADEMY,North Carolina,11.10
PACTOLUS,North Carolina,14.73
PAGE HIGH,North Carolina,20.90
PAGE STREET ELEMENTARY,North Carolina,17.44
PAISLEY IB MAGNET SCHOOL,North Carolina,15.02
PAMLICO COUNTY HIGH,North Carolina,11.54
PAMLICO COUNTY MIDDLE,North Carolina,12.66
PAMLICO COUNTY PRIMARY,North Carolina,15.77
PANTHER CREEK HIGH,North Carolina,20.59
PARK ROAD MONTESSORI,North Carolina,19.42
PARK VIEW ELEMENTARY,North Carolina,17.42
PARKLAND HIGH,North Carolina,16.04
PARKSIDE ELEMENTARY,NORTH CAROLINA,†
PARKTON ELEMENTARY,North Carolina,18.70
PARKVIEW VILLAGE ELEMENTARY,North Carolina,13.59
PARKWAY ELEMENTARY,North Carolina,14.51
PARKWOOD ELEMENTARY,North Carolina,15.27
PARKWOOD ELEMENTARY,North Carolina,15.83
PARKWOOD HIGH,North Carolina,17.50
PARKWOOD MIDDLE,North Carolina,17.33
PARTNERSHIP ACADEMY,North Carolina,4.43
PARTNERSHIP ELEMENTARY,North Carolina,12.01
PASQUOTANK COUNTY HIGH,North Carolina,15.82
PASQUOTANK ELEMENTARY,North Carolina,13.63
PATE-GARDNER ELEMENTARY,North Carolina,13.26
PATHWAYS ELEMENTARY,North Carolina,12.97
PATRIOTS ELEMENTARY,North Carolina,17.72
PAUL R. BROWN LEADERSHIP ACADEMY,North Carolina,11.96
PAULINE JONES MIDDLE,North Carolina,="0.95"
PAVE SOUTHEAST RALEIGH CHARTER,NORTH CAROLINA,†
PAW CREEK ELEMENTARY,North Carolina,14.31
PCS EARLY COLLEGE HIGH,NORTH CAROLINA,†
PEACHLAND-POLKTON ELEM,North Carolina,15.70
PEACHTREE ELEMENTARY,North Carolina,11.07
PEARSONTOWN ELEMENTARY,North Carolina,17.41
PEELER OPEN ELEMENTARY,North Carolina,13.25
PEMBROKE ELEMENTARY,North Carolina,20.64
PEMBROKE MIDDLE,North Carolina,16.23
PENDER EARLY COLLEGE HIGH,North Carolina,18.83
PENDER HIGH,North Carolina,16.17
PENDERLEA ELEMENTARY,North Carolina,16.55
PENN-GRIFFIN SCHOOLS,North Carolina,13.95
PENNY ROAD ELEMENTARY,North Carolina,15.84
PERFORMANCE LEARNING CENTER,North Carolina,15.25
PERFORMANCE LEARNING CENTER,North Carolina,18.67
PERQUIMANS CENTRAL,North Carolina,14.81
PERQUIMANS COUNTY HIGH,North Carolina,13.40
PERQUIMANS COUNTY MIDDLE,North Carolina,13.29
PERRY W HARRISON ELEMENTARY,North Carolina,17.42
PERSON HIGH,North Carolina,15.96
PETERSON ELEMENTARY,North Carolina,22.04
PETREE ELEMENTARY,North Carolina,13.40
PHILIP J WEAVER ED CENTER,North Carolina,6.06
PHILLIP O BERRY ACADEMY OF TECHNOLOGY,North Carolina,19.22
PHILLIPS HIGH,North Carolina,5.16
PHILLIPS MIDDLE,North Carolina,13.55
PHILLIPS MIDDLE,North Carolina,11.85
PHILO-HILL MAGNET ACADEMY,North Carolina,12.07
PHOENIX ACADEMY,North Carolina,14.63
PHOENIX ACADEMY HIGH,North Carolina,4.81
PICKETT ELEMENTARY SCHOOL,North Carolina,15.67
PIEDMONT CLASSICAL HIGH,NORTH CAROLINA,†
PIEDMONT COMMUNITY CHARTER SCHOOL,North Carolina,16.64
PIEDMONT HIGH,North Carolina,18.88
PIEDMONT IB MIDDLE,North Carolina,23.13
PIEDMONT MIDDLE,North Carolina,19.63
PILOT ELEMENTARY,North Carolina,16.43
PILOT ELEMENTARY,North Carolina,16.61
PILOT MOUNTAIN ELEMENTARY,North Carolina,17.29
PILOT MOUNTAIN MIDDLE,North Carolina,14.79
PINE FOREST HIGH,North Carolina,17.12
PINE FOREST MIDDLE,North Carolina,14.54
PINE HALL ELEMENTARY,North Carolina,14.07
PINE LAKE PREPARATORY,North Carolina,16.57
PINE VALLEY ELEMENTARY,North Carolina,15.51
PINEBROOK ELEMENTARY,North Carolina,15.24
PINECREST HIGH,North Carolina,20.17
PINEHURST ELEMENTARY,North Carolina,17.71
PINES ELEMENTARY,North Carolina,19.71
PINEVILLE ELEMENTARY,North Carolina,18.01
PINEWOOD ELEMENTARY,North Carolina,14.45
PINEWOOD ELEMENTARY,North Carolina,17.05
PINEY CREEK ELEMENTARY,North Carolina,12.44
PINEY GROVE ELEMENTARY,North Carolina,15.67
PINEY GROVE ELEMENTARY,North Carolina,16.54
PINEY GROVE ELEMENTARY,North Carolina,19.01
PINEY GROVE MIDDLE,North Carolina,13.71
PINK HILL ELEMENTARY,North Carolina,16.10
PINKSTON STREET ELEMENTARY,North Carolina,13.65
PINNACLE CLASSICAL ACADEMY,North Carolina,18.30
PINNACLE ELEMENTARY,North Carolina,13.98
PINNACLE ELEMENTARY SCHOOL,North Carolina,14.59
PIONEER SPRINGS COMMUNITY SCHOOL,North Carolina,10.81
PISGAH ELEMENTARY,North Carolina,14.86
PISGAH FOREST ELEMENTARY,North Carolina,15.46
PISGAH HIGH,North Carolina,15.07
PITT MEMORIAL HOSPITAL,North Carolina,4.33
PITTMAN ELEMENTARY,North Carolina,10.92
PITTS SCHOOL ROAD ELEMENTARY,North Carolina,16.51
PITTSBORO ELEMENTARY,North Carolina,14.99
PLAIN VIEW ELEMENTARY,North Carolina,14.79
PLAIN VIEW PRIMARY,North Carolina,13.10
PLEASANT GARDEN ELEMENTARY,North Carolina,15.78
PLEASANT GARDENS ELEMENTARY,North Carolina,14.98
PLEASANT GROVE ELEMENTARY,North Carolina,14.80
PLEASANT RIDGE ELEMENTARY,North Carolina,15.30
PLEASANT UNION ELEMENTARY,North Carolina,16.15
PLYMOUTH HIGH,North Carolina,13.30
POE ELEMENTARY,North Carolina,12.00
POLENTA ELEMENTARY,North Carolina,15.32
POLK CENTRAL ELEMENTARY SCHOOL,North Carolina,12.00
POLK COUNTY EARLY COLLEGE,North Carolina,19.38
POLK COUNTY HIGH SCHOOL,North Carolina,12.39
POLK COUNTY MIDDLE SCHOOL,North Carolina,12.47
POLLOCKSVILLE ELEMENTARY,North Carolina,15.02
POLO RIDGE ELEMENTARY,North Carolina,18.76
PONDEROSA ELEMENTARY,North Carolina,13.25
POPLAR SPRINGS ELEMENTARY,North Carolina,14.28
POPLIN ELEMENTARY,North Carolina,17.58
PORTER RIDGE ELEMENTARY,North Carolina,15.21
PORTER RIDGE HIGH SCHOOL,North Carolina,20.40
PORTER RIDGE MIDDLE SCHOOL,North Carolina,19.24
POWELL ELEMENTARY,North Carolina,12.00
POWHATAN ELEMENTARY,North Carolina,15.82
PREEMINENT CHARTER,North Carolina,16.30
PRESSLY SCHOOL,North Carolina,7.93
PRINCETON ELEMENTARY,North Carolina,13.50
PRINCETON HIGH,North Carolina,15.19
PRINCEVILLE ELEMENTARY,North Carolina,13.12
PROSPECT ELEMENTARY,North Carolina,18.04
PROSPECT ELEMENTARY,North Carolina,17.19
PROVIDENCE CHARTER HIGH,North Carolina,†
PROVIDENCE GROVE HIGH,North Carolina,16.16
PROVIDENCE HIGH,North Carolina,21.02
PROVIDENCE SPRING ELEMENTARY,North Carolina,19.08
PRUETT SCALE ACADEMY,North Carolina,="0.92"
PSRC EARLY COLLEGE AT RCC,North Carolina,17.07
PUMPKIN CENTER INTERMEDIATE,North Carolina,15.21
PUMPKIN CENTER PRIMARY,North Carolina,15.12
PURNELL SWETT HIGH,North Carolina,18.90
QUAIL HOLLOW MIDDLE,North Carolina,18.34
QUALITY EDUCATION ACADEMY,North Carolina,17.75
QUEEN CITY STEM SCHOOL,NORTH CAROLINA,†
QUEENS CREEK ELEMENTARY,North Carolina,14.26
QUEENS GRANT COMMUNITY,North Carolina,17.45
QUEST ACADEMY,North Carolina,14.40
R B DEAN ELEMENTARY,North Carolina,18.83
R BROWN  MCALLISTER ELEMENTARY,North Carolina,16.63
R FREEMAN SCH OF ENGINEERING,North Carolina,13.56
R HOMER ANDREWS ELEMENTARY,North Carolina,13.86
R J REYNOLDS HIGH,North Carolina,20.19
R MAX ABBOTT MIDDLE,North Carolina,16.63
R N HARRIS ELEMENTARY,North Carolina,13.85
R-S CENTRAL HIGH SCHOOL,North Carolina,14.84
R-S MIDDLE SCHOOL,North Carolina,16.01
RALEIGH CHARTER HIGH SCHOOL,North Carolina,13.36
RALEIGH ROAD ELEMENTARY,North Carolina,14.72
RAMA ROAD ELEMENTARY,North Carolina,14.16
RAMSEUR ELEMENTARY,North Carolina,13.11
RAMSEY STREET HIGH,North Carolina,2.20
RAND ROAD ELEMENTARY,North Carolina,15.50
RANDLEMAN ELEMENTARY,North Carolina,14.29
RANDLEMAN HIGH,North Carolina,17.13
RANDLEMAN MIDDLE,North Carolina,17.87
RANDOLPH EARLY COLLEGE HIGH,North Carolina,26.00
RANDOLPH MIDDLE,North Carolina,19.41
RANGER ELEMENTARY/MIDDLE,North Carolina,13.04
RANKIN ELEMENTARY,North Carolina,15.30
RANSON MIDDLE,North Carolina,19.88
RASHKIS ELEMENTARY,North Carolina,13.73
RAY CHILDERS ELEMENTARY,North Carolina,15.49
RAY STREET ACADEMY,North Carolina,6.32
REA VIEW ELEMENTARY,North Carolina,18.17
REACHING ALL MINDS ACADEMY,North Carolina,20.50
RED OAK ELEMENTARY,North Carolina,17.43
RED OAK MIDDLE,North Carolina,19.33
RED SPRINGS HIGH,North Carolina,15.50
RED SPRINGS MIDDLE,North Carolina,15.07
REEDS ELEMENTARY,North Carolina,14.84
REEDY CREEK ELEMENTARY,North Carolina,13.75
REEDY CREEK ELEMENTARY,North Carolina,16.54
REEDY CREEK MIDDLE,North Carolina,15.94
REEDY FORK ELEMENTARY,North Carolina,14.17
REID PARK ACADEMY,North Carolina,16.53
REID ROSS CLASSICAL HIGH,North Carolina,7.21
REID ROSS CLASSICAL MIDDLE,North Carolina,–
REIDSVILLE HIGH,North Carolina,13.92
REIDSVILLE MIDDLE,North Carolina,13.62
RESEARCH TRIANGLE CHARTER,North Carolina,18.40
RESEARCH TRIANGLE HIGH,North Carolina,13.69
REX-RENNERT ELEMENTARY,North Carolina,19.55
REYNOLDS HIGH,North Carolina,17.10
REYNOLDS MIDDLE,North Carolina,13.33
RHYNE ELEMENTARY,North Carolina,17.46
RICHFIELD ELEMENTARY,North Carolina,15.81
RICHLAND CREEK ES,North Carolina,13.15
RICHLANDS ELEMENTARY,North Carolina,16.54
RICHLANDS HIGH,North Carolina,17.78
RICHLANDS PRIMARY,North Carolina,17.68
RICHMOND 9TH GRADE ACADEMY,North Carolina,15.94
RICHMOND EARLY COLLEGE HIGH,North Carolina,21.40
RICHMOND SENIOR HIGH,North Carolina,17.07
RIDGE ROAD MIDDLE,North Carolina,19.65
RIDGEWOOD ELEMENTARY,North Carolina,15.38
RIVER BEND ELEMENTARY,North Carolina,13.53
RIVER BEND MIDDLE,North Carolina,15.94
RIVER DELL ELEMENTARY,North Carolina,17.47
RIVER GATE ELEMENTARY,North Carolina,18.81
RIVER MILL ACADEMY,North Carolina,18.59
RIVER OAKS ACADEMY,North Carolina,16.79
RIVER OAKS MIDDLE,North Carolina,2.87
RIVER ROAD MIDDLE,North Carolina,16.40
RIVERBEND ELEMENTARY,North Carolina,12.94
RIVERSIDE ELEMENTARY,North Carolina,11.95
RIVERSIDE HIGH,North Carolina,14.03
RIVERSIDE HIGH,North Carolina,16.95
RIVERSIDE MIDDLE,North Carolina,14.99
RIVERVIEW ELEMENTARY,North Carolina,13.60
RIVERWOOD ELEMENTARY,North Carolina,16.93
RIVERWOOD MIDDLE,North Carolina,17.81
ROANOKE RAPIDS HIGH,North Carolina,16.21
ROANOKE VALLEY EARLY COLLEGE,North Carolina,22.88
ROARING RIVER ELEMENTARY,North Carolina,17.93
ROBBINS ELEMENTARY,North Carolina,14.08
ROBBINSVILLE ELEMENTARY,North Carolina,15.01
ROBBINSVILLE HIGH,North Carolina,12.59
ROBBINSVILLE MIDDLE,North Carolina,14.93
ROBERSON HIGH,North Carolina,16.93
ROBERT B GLENN HIGH SCHOOL,North Carolina,17.52
ROBERT L. PATTON HIGH SCHOOL,North Carolina,19.06
ROBESON CO CAREER CTR,North Carolina,–
ROBINSON ELEMENTARY,North Carolina,16.15
ROCHELLE MIDDLE,North Carolina,14.23
ROCK REST ELEMENTARY,North Carolina,10.31
ROCK RIDGE ELEMENTARY,North Carolina,17.68
ROCK SPRINGS ELEMENTARY,North Carolina,17.52
ROCKFISH ELEMENTARY,North Carolina,16.18
ROCKFISH HOKE ELEMENTARY,North Carolina,17.11
ROCKFORD ELEMENTARY,North Carolina,14.55
ROCKINGHAM CO EARLY COLLEGE HIGH,North Carolina,24.72
ROCKINGHAM COUNTY HIGH,North Carolina,17.90
ROCKINGHAM COUNTY MIDDLE,North Carolina,17.96
ROCKINGHAM MIDDLE,North Carolina,15.60
ROCKWELL ELEMENTARY,North Carolina,16.48
ROCKY MOUNT HIGH,North Carolina,17.95
ROCKY MOUNT MIDDLE,North Carolina,17.06
ROCKY MOUNT PREPARATORY,North Carolina,22.62
ROCKY POINT ELEMENTARY,North Carolina,14.66
ROCKY RIVER ELEMENTARY,North Carolina,15.54
ROCKY RIVER ELEMENTARY,North Carolina,14.35
ROCKY RIVER ELEMENTARY,North Carolina,14.25
ROCKY RIVER HIGH,North Carolina,18.99
RODGERS ELEMENTARY,North Carolina,15.58
ROGER R BELL ELEMENTARY,North Carolina,12.89
ROGERS-HERR MIDDLE,North Carolina,14.83
ROHANEN MIDDLE,North Carolina,16.05
ROLAND-GRISE MIDDLE,North Carolina,16.05
ROLESVILLE ELEMENTARY,North Carolina,16.05
ROLESVILLE HIGH,North Carolina,17.27
ROLESVILLE MIDDLE,North Carolina,16.84
RONALD E. MCNAIR ELEMENTARY,North Carolina,17.79
RONALD W REAGAN HIGH SCHOOL,North Carolina,19.88
RONDA-CLINGMAN ELEMENTARY,North Carolina,16.20
ROOT ELEMENTARY,North Carolina,14.11
ROSE HILL-MAGNOLIA ELEMENTARY,North Carolina,16.05
ROSEBORO ELEMENTARY,North Carolina,17.06
ROSEBORO-SALEMBURG MIDDLE,North Carolina,14.58
ROSENWALD ELEMENTARY,North Carolina,21.28
ROSEWOOD ELEMENTARY,North Carolina,16.99
ROSEWOOD HIGH,North Carolina,15.53
ROSEWOOD MIDDLE,North Carolina,14.56
ROSMAN ELEMENTARY,North Carolina,12.82
ROSMAN HIGH,North Carolina,12.12
ROSMAN MIDDLE,North Carolina,12.33
ROWAN CO EARLY COLLEGE,North Carolina,30.00
ROWLAND MIDDLE,North Carolina,10.33
ROWLAND NORMENT ELEMENTARY,North Carolina,16.18
ROXBORO COMMUNITY SCHOOL,North Carolina,14.98
ROYAL ELEMENTARY,North Carolina,16.31
ROYAL OAKS ELEMENTARY,North Carolina,15.38
RUGBY MIDDLE,North Carolina,15.12
RURAL HALL ELEMENTARY,North Carolina,16.67
RUTHERFORD COLLEGE ELEM,North Carolina,13.52
RUTHERFORD EARLY COLLEGE HIGH SCHOOL,North Carolina,28.17
RUTHERFORD OPPORTUNITY CENTER,North Carolina,8.26
RUTHERFORDTON ELEMENTARY SCHOOL,North Carolina,15.55
S GRANVILLE HS OF HEALTH LIFE SCIENCES,North Carolina,26.76
S GRANVILLE HS OF INTEG TECH & LEAD,North Carolina,16.80
S RAY LOWDER ELEMENTARY,North Carolina,14.93
S W SNOWDEN ELEMENTARY,North Carolina,11.61
SAGE ACADEMY,North Carolina,4.89
SAINT PAULS ELEMENTARY,North Carolina,18.33
SAINT PAULS HIGH,North Carolina,15.41
SAINT PAULS MIDDLE,North Carolina,17.28
SAINT STEPHENS ELEMENTARY,North Carolina,14.00
SAINT STEPHENS HIGH,North Carolina,17.66
SALEM ELEMENTARY,North Carolina,16.09
SALEM ELEMENTARY,North Carolina,15.56
SALEM MIDDLE,North Carolina,16.12
SALEMBURG ELEMENTARY,North Carolina,16.35
SALISBURY HIGH,North Carolina,14.07
SALLIE B HOWARD SCHOOL,North Carolina,17.39
SALUDA ELEMENTARY SCHOOL,North Carolina,12.50
SAM D BUNDY ELEMENTARY,North Carolina,13.40
SAMPSON EARLY COLLEGE HIGH,North Carolina,23.43
SAMPSON MIDDLE,North Carolina,15.10
SAND HILL-VENABLE ELEM,North Carolina,15.04
SAND RIDGE ELEMENTARY,North Carolina,13.80
SANDERSON HIGH,North Carolina,18.02
SANDHILLS FARM LIFE ELEMENTARY,North Carolina,18.01
SANDHOKE EARLY COLLEGE HIGH,North Carolina,28.91
SANDY GROVE ELEMENTARY,North Carolina,15.23
SANDY GROVE MIDDLE,North Carolina,14.93
SANDY RIDGE  ELEMENTARY,North Carolina,16.23
SANDY RIDGE ELEMENTARY,North Carolina,16.50
SANDY RIDGE ELEMENTARY,North Carolina,14.20
SANFORD CREEK ELEMENTARY,North Carolina,15.35
SANLEE MIDDLE SCHOOL,North Carolina,16.72
SARDIS ELEMENTARY,North Carolina,13.16
SAWMILLS ELEMENTARY,North Carolina,16.60
SCALE SCHOOL,North Carolina,="0.86"
SCHOOL OF INQUIRY AND LIFE SCIENCES,North Carolina,21.01
SCHOOL STREET ELEMENTARY,North Carolina,12.36
SCOTLAND EARLY COLLEGE HIGH,North Carolina,27.13
SCOTLAND HIGH SCHOOL,North Carolina,16.73
SCOTLAND NECK PRIMARY,North Carolina,13.44
SCOTTS CREEK ELEMENTARY,North Carolina,15.64
SCOTTS ELEMENTARY,North Carolina,17.10
SCOTTS RIDGE ELEMENTARY,NORTH CAROLINA,†
SCROGGS ELEMENTARY,North Carolina,14.00
SCURLOCK ELEMENTARY,North Carolina,16.72
SEAGROVE ELEMENTARY,North Carolina,14.79
SEAWELL ELEMENTARY,North Carolina,13.75
SEDALIA ELEMENTARY,North Carolina,16.96
SEDGE GARDEN ELEMENTARY,North Carolina,14.57
SEDGEFIELD ELEMENTARY,North Carolina,13.83
SEDGEFIELD ELEMENTARY,North Carolina,17.53
SEDGEFIELD MIDDLE,North Carolina,16.37
SELMA ELEMENTARY,North Carolina,12.94
SELMA MIDDLE SCHOOL,North Carolina,13.85
SELWYN ELEMENTARY,North Carolina,17.47
SEVENTY-FIRST CLASSICAL MIDDLE,North Carolina,16.36
SEVENTY-FIRST HIGH,North Carolina,17.05
SHADY BROOK ELEMENTARY,North Carolina,14.93
SHADY GROVE ELEMENTARY,North Carolina,17.15
SHADYBROOK ELEMENTARY,North Carolina,18.39
SHALLOTTE MIDDLE,North Carolina,16.02
SHAMROCK GARDENS ELEMENTARY,North Carolina,13.24
SHARON ELEMENTARY,North Carolina,18.11
SHARON ELEMENTARY,North Carolina,15.57
SHAW ACADEMY,North Carolina,7.70
SHAWBORO ELEMENTARY SCHOOL,North Carolina,17.77
SHEEP-HARNEY ELEMENTARY,North Carolina,15.03
SHELBY HIGH,North Carolina,12.66
SHELBY INTERMEDIATE,North Carolina,14.33
SHELBY MIDDLE,North Carolina,14.08
SHEPHERD ELEMENTARY,North Carolina,16.76
SHERRILLS FORD ELEMENTARY,North Carolina,17.96
SHERWOOD ELEMENTARY,North Carolina,17.25
SHERWOOD FOREST ELEMENTARY,North Carolina,13.68
SHERWOOD GITHENS MIDDLE,North Carolina,16.10
SHERWOOD PARK ELEMENTARY,North Carolina,13.14
SHILOH ELEMENTARY,North Carolina,14.28
SHINING ROCK CLASSICAL ACADEMY: CFA,NORTH CAROLINA,†
SHIVE ELEMENTARY,North Carolina,15.11
SHOALS ELEMENTARY,North Carolina,15.32
SHUFORD ELEMENTARY,North Carolina,17.69
SILER CITY ELEMENTARY,North Carolina,14.27
SILK HOPE SCHOOL,North Carolina,16.19
SILVER VALLEY ELEMENTARY,North Carolina,13.72
SILVERDALE ELEMENTARY,North Carolina,16.42
SMITH ELEMENTARY,North Carolina,12.65
SMITH FARM ELEMENTARY,North Carolina,16.91
SMITH MIDDLE,North Carolina,13.66
SMITHFIELD ELEMENTARY,North Carolina,14.66
SMITHFIELD MIDDLE,North Carolina,13.43
SMITHFIELD-SELMA HIGH,North Carolina,14.88
SMOKEY MOUNTAIN ELEMENTARY,North Carolina,14.28
SMOKY MOUNTAIN HIGH,North Carolina,14.64
SMYRNA ELEMENTARY,North Carolina,13.04
SNOW CREEK ELEMENTARY,North Carolina,16.55
SNOW HILL PRIMARY,North Carolina,13.05
SOCRATES ACADEMY,North Carolina,14.12
SOUTH ASHEBORO MIDDLE,North Carolina,14.97
SOUTH BRUNSWICK CHARTER,North Carolina,21.75
SOUTH BRUNSWICK HIGH,North Carolina,15.45
SOUTH BRUNSWICK MIDDLE,North Carolina,16.75
SOUTH CALDWELL HIGH,North Carolina,15.22
SOUTH CAMPUS COMMUNITY HIGH,North Carolina,1.36
SOUTH CAMPUS COMMUNITY MIDDLE,North Carolina,1.30
SOUTH CENTRAL HIGH,North Carolina,17.51
SOUTH CHARLOTTE MIDDLE,North Carolina,20.50
SOUTH COLUMBUS HIGH,North Carolina,18.26
SOUTH CREEK HIGH,North Carolina,10.68
SOUTH CREEK MIDDLE,North Carolina,9.80
SOUTH DAVIDSON HIGH,North Carolina,13.97
SOUTH DAVIDSON MIDDLE,North Carolina,13.14
SOUTH DAVIE MIDDLE,North Carolina,13.20
SOUTH EDGECOMBE MIDDLE,North Carolina,17.80
SOUTH ELEMENTARY,North Carolina,16.15
SOUTH ELEMENTARY,North Carolina,14.23
SOUTH ELEMENTARY,North Carolina,12.76
SOUTH END ELEMENTARY,North Carolina,15.90
SOUTH FORK ELEMENTARY,North Carolina,12.29
SOUTH GRAHAM ELEMENTARY,North Carolina,13.00
SOUTH GREENVILLE ELEMENTARY,North Carolina,14.94
SOUTH HARNETT ELEMENTARY,North Carolina,16.29
SOUTH IREDELL HIGH,North Carolina,16.19
SOUTH JOHNSTON HIGH,North Carolina,15.56
SOUTH LENOIR HIGH,North Carolina,15.80
SOUTH LEXINGTON DEVELOPMENT CENTER,North Carolina,6.90
SOUTH LEXINGTON SCHOOL,North Carolina,13.68
SOUTH MACON ELEMENTARY,North Carolina,14.77
